PatientSID,PatientIEN,Sta3n,PatientName,PatientLastName,PatientFirstName,TestPatientFlag,CDWPossibleTestPatientFlag,VeteranFlag,PatientTypeIEN,PatientTypeSID,PatientICN,ScrSSN,PatientSSN,PseudoSSNReason,SSNVerificationStatus,GovernmentEmployeeFlag,SensitiveFlag,Age,BirthDateTime,BirthVistaErrorDate,BirthDateTimeTransformSID,DeceasedFlag,DeathDateTime,DeathVistaErrorDate,DeathDateTimeTransformSID,DeathEnteredByStaffIEN,DeathEnteredByStaffSID,DeathNotificationSource,DeathDocumentationType,DeathModifiedDateTime,DeathModifiedVistaErrorDate,DeathModifiedDateTimeTransformSID,DeathLastUpdatedByStaffIEN,DeathLastUpdatedByStaffSID,Gender,SelfIdentifiedGender,ReligionIEN,ReligionSID,MaritalStatusIEN,MaritalStatusSID,CollateralSponsorPatientIEN,CollateralSponsorPatientSID,CurrentEnrollmentIEN,CurrentEnrollmentSID,CurrentMeansTestStatusIEN,CurrentMeansTestStatusSID,PeriodOfServiceIEN,PeriodOfServiceSID,OperationDesertShieldRank,ODSRankType,ODSRecalledCode,ODSTreatmentDateTime,ODSTreatmentVistaErrorDate,ODSTreatmentDateTimeTransformSID,FederalAgencyIEN,FederalAgencySID,FilipinoVeteranCode,ServiceConnectedFlag,EligibilityIEN,EligibilitySID,EligibilityVACode,EligibilityStatus,EligibilityStatusDateTime,EligibilityStatusVistaErrorDate,EligibilityStatusDateTimeTransformSID,EligibilityVerificationSource,EligibilityVerificationMethod,EligibilityInterimDateTime,EligibilityInterimVistaErrorDate,EligibilityInterimDateTimeTransformSID,EligibilityEnteredStaffIEN,EligibilityEnteredStaffSID,IneligibleReason,IneligibleVAROReason,IneligibleCity,IneligibleStateIEN,IneligibleStateSID,IneligibleDateTime,IneligibleVistaErrorDate,IneligibleDateTimeTransformSID,IneligibleSource,PatientMissingSource,PatientMissingDateTime,PatientMissingVistaErrorDate,PatientMissingDateTimeTransformSID,PatientMissingCity,PatientMissingStateIEN,PatientMissingStateSID,FugitiveFelonFlag,FFFEnteredDateTime,FFFEnteredVistaErrorDate,FFFEnteredDateTimeTransformSID,FFFEnteredStaffIEN,FFFEnteredStaffSID,FFFRemovedReason,FFFRemovedDateTime,FFFRemovedVistaErrorDate,FFFRemovedDateTimeTransformSID,FFFRemovedStaffIEN,FFFRemovedStaffSID,PatientEnteredByStaffIEN,PatientEnteredByStaffSID,PatientEnteredCode,PatientEnteredRemark,PatientEnteredDateTime,PatientEnteredVistaErrorDate,PatientEnteredDateTimeTransformSID,DuplicateRecordStatus,DestinationMergePatientIEN,DestinationMergePatientSID,PreferredInstitutionIEN,PreferredInstitutionSID,PreferredInstitutionSource,EmergencyResponseIndicator,InsuranceCoverageFlag,MedicaidEligibleFlag,MedicaidNumber,MedicaidInquireDateTime,MedicaidInquireVistaErrorDate,MedicaidInquireDateTimeTransformSID,VeteranTransportationProgramFlag,BadAddressIndicator,StreetAddress1,StreetAddress2,City,StateIEN,StateSID,StateCountyIEN,StateCountySID,Zip,Zip4,PercentServiceConnect,VietnamServiceFlag,AgentOrangeExposureFlag,AgentOrangeLocationCode,RadiationExposureCode,IonizingRadiationExposureFlag,SHADFlag,SouthwestAsiaCondition,POWFlag,POWLocationIEN,POWLocationSID,CombatFlag,CombatEligibilityEndDate,CombatEligibilityEndVistaErrorDate,CombatEligibilityEndDateTransformSID,CombatFromDate,CombatFromVistaErrorDate,CombatFromDateTransformSID,CombatToDate,CombatToVistaErrorDate,CombatToDateTransformSID
11110001,111001,660,"JONES,DAVID",JONES,DAVID,null,N,Y,1,1200000200,PTICN001,111111111,111110001,null,VERIFIED,null,null,70,1954-06-14T00:00:00Z,null,null,N,null,null,null,null,-1,null,null,null,null,null,null,-1,M,null,3,1131,2,153,null,-1,11595354,1.60017E+12,3,1200000297,7,1200000670,null,null,null,null,null,null,null,-1,null,Y,1,1200000477,1,VERIFIED,2018-05-16T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,16528237,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,58539,7476568,null,null,2007-06-04T00:00:00Z,null,null,null,null,-1,621,151432,ESR,null,N,N,null,2007-06-28T11:47:00Z,null,null,null,null,110 MAIN STREET,null,SPRINGFIELD,37,5243,7,1200069927,28675,28675,100,null,Y,VIETNAM,null,N,null,NO,N,null,-1,null,null,null,null,null,null,null,null,null,null
11110002,111002,660,"DAVIS,JENNIFER",DAVIS,JENNIFER,null,N,Y,1,1200000011,PTICN002,111111111,111110002,null,VERIFIED,null,Y,41,1983-07-28T00:00:00Z,null,null,N,null,null,null,null,-1,null,null,null,null,null,null,-1,F,null,104,154,2,29,null,-1,18772699,1.60016E+12,null,-1,122,1200000055,null,null,null,null,null,null,null,-1,null,Y,1,1200000022,1,VERIFIED,2020-09-02T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,16411189,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,16631,5509841,null,null,2007-06-22T00:00:00Z,null,null,null,null,-1,521,21077,ESR,null,Y,N,null,2007-06-22T09:00:00Z,null,null,null,null,110 MAIN STREET,null,SPRINGFIELD,1,425,44,1200000875,36877,368772214,100,N,N,null,null,N,null,NO,N,null,-1,N,null,null,null,null,null,null,null,null,null
11110003,111003,660,"BROWN,EMILY ROSE",BROWN,EMILY,null,N,Y,1,800000239,PTICN003,111111111,111110003,null,VERIFIED,null,null,67,1957-01-25T00:00:00Z,null,null,N,null,null,null,null,-1,null,null,null,null,null,null,-1,M,null,112,5606,2,738,null,-1,6169405,1.60016E+12,3,800000345,7,800000787,null,null,null,null,null,null,null,-1,null,Y,1,800000506,1,VERIFIED,2016-08-29T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,800000007,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,5478,1530202,null,SUSANVILLE CBOC,2007-05-24T00:00:00Z,null,null,null,null,-1,359,682405,ESR,null,Y,N,null,2014-11-14T10:52:00Z,null,null,null,null,110 MAIN STREET,null,SPRINGFIELD,15,7510,4,800078796,96707,967074298,70,Y,Y,VIETNAM,null,N,null,NO,N,null,-1,N,null,null,null,null,null,null,null,null,null
11110004,111004,660,"TAYLOR,KEVIN SCOTT",TAYLOR,KEVIN,null,N,Y,1,800000350,PTINC004,111111111,111110004,null,VERIFIED,null,null,61,1961-01-08T00:00:00Z,null,null,Y,2022-01-12T00:00:00Z,null,null,null,-1,SSA DMF,null,2022-02-03T00:00:00Z,null,null,null,-1,M,null,29,800,1,781,null,-1,3661086,1.60002E+12,null,-1,7,800001149,null,null,null,null,null,null,null,-1,null,Y,3,800000781,3,VERIFIED,2021-12-16T00:00:00Z,null,null,HEC,CEV/VIVA,null,null,null,0.5,800000031,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,14608,3961137,null,TRANS CARE SPOKANE SENT TO GOV 061807[PATIENT DIED ON 01/12/22],2007-06-18T00:00:00Z,null,null,null,null,-1,7438,711761,ESR,PANDEMIC,N,N,null,2021-08-31T09:28:00Z,null,null,null,null,110 MAIN STREET,null,SPRINGFIELD,39,9149,50,800111213,44055,440551810,10,null,N,null,null,N,null,NO,N,null,-1,N,null,null,null,null,null,null,null,null,null
11110005,111005,660,"THOMAS,LISA",THOMAS,LISA,null,N,Y,1,800000350,PTICN005,111111111,111110005,null,VERIFIED,null,null,61,1961-01-08T00:00:00Z,null,null,Y,2022-01-12T00:00:00Z,null,null,null,-1,SSA DMF,null,2022-02-03T00:00:00Z,null,null,null,-1,M,null,29,800,1,781,null,-1,3661086,1.60002E+12,null,-1,7,800001149,null,null,null,null,null,null,null,-1,null,Y,3,800000781,3,VERIFIED,2021-12-16T00:00:00Z,null,null,HEC,CEV/VIVA,null,null,null,0.5,800000031,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,14608,3961137,null,TRANS CARE SPOKANE SENT TO GOV 061807[PATIENT DIED ON 01/12/22],2007-06-18T00:00:00Z,null,null,null,null,-1,7438,711761,ESR,PANDEMIC,N,N,null,2021-08-31T09:28:00Z,null,null,null,null,110 MAIN STREET,null,SPRINGFIELD,39,9149,50,800111213,44055,440551810,10,null,N,null,null,N,null,NO,N,null,-1,N,null,null,null,null,null,null,null,null,null
11110006,111006,688,"RODRIGUEZ,CARLOS ANTONIO",RODRIGUEZ,CARLOS,null,N,Y,1,1400000063,PTICN006,111111111,111110006,null,VERIFIED,null,null,34,1990-01-04T00:00:00Z,null,null,N,null,null,null,null,-1,null,null,null,null,null,null,-1,M,null,29,4,6,1,null,-1,14799462,1.60015E+12,3,1400000105,121,1400000235,null,null,null,null,null,null,null,-1,null,Y,3,1400000142,3,VERIFIED,2020-03-02T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,1400000027,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,502,20752,null,New Patient record added by ELECTRONIC 10-10EZ.,2007-05-09T00:00:00Z,null,null,null,null,-1,650,69183,VISTA,null,N,N,null,2002-12-30T21:20:00Z,null,null,null,null,110 MAIN STREET,null,FAIRVIEW,44,2020,5,1400055045,02861,028612054,30,null,N,null,null,N,null,NO,null,null,-1,N,null,null,null,null,null,null,null,null,null
11110007,111007,688,"MARTIN,ANDREW",MARTIN,ANDREW,null,N,Y,1,1400000000,PTICN007,111111111,111110007,null,VERIFIED,null,null,30,1994-08-15T00:00:00Z,null,null,N,null,null,null,null,-1,null,null,null,null,null,null,-1,M,null,29,2108,6,333,null,-1,5166050,1.60015E+12,3,1400000009,121,1400000019,null,null,null,null,null,null,null,-1,null,Y,1,1400000000,1,VERIFIED,2017-10-27T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,1400000050,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,15694,3394126,null,null,2007-04-18T00:00:00Z,null,null,null,null,-1,402,328170,ESR,null,N,N,null,2014-06-20T09:19:00Z,null,null,null,null,110 MAIN STREET,null,FAIRVIEW,23,7164,4,1400021939,04443,04443,80,null,N,null,null,N,null,NO,null,null,-1,null,3/8/2015,null,null,null,null,null,null,null,null
11110008,111008,688,"DAWSON,JASON RAY",DAWSON,JAYSON,null,N,N,14,1000000069,PTICN008,111111111,111110008,null,VERIFIED,null,null,39,1874-04-27T00:00:00Z,null,null,N,null,null,null,null,-1,null,null,null,null,null,null,-1,F,null,29,3094,2,529,null,-1,9418012,1.60005E+12,null,-1,118,1000000246,null,null,null,null,null,null,null,-1,null,N,21,1000000153,7,VERIFIED,2007-06-19T00:00:00Z,null,null,VISTA,VAMC/TRICARE,null,null,null,0.5,16537449,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,null,-1,null,null,null,null,null,null,null,-1,556,480154,ESR,null,N,N,null,2008-05-22T08:25:00Z,null,null,null,null,110 MAIN STREET,null,FAIRVIEW,51,10327,6,1000038203,22309,223092124,null,null,N,null,null,N,null,NO,null,null,-1,null,null,null,null,null,null,null,null,null,null
11110009,111009,688,"WHITE,JOSEPH B",WHITE,JOSEPH,null,N,Y,1,1200000388,PTINC009,111111111,111110009,null,VERIFIED,null,null,82,1938-06-24T00:00:00Z,null,null,Y,2020-11-21T00:00:00Z,null,null,null,-1,SPOUSE/NOK/OTHER PERSON,null,2020-12-11T16:01:06Z,null,null,null,-1,M,null,3,2021,2,318,null,-1,12424247,1.6E+12,null,-1,7,1200001286,null,null,null,null,null,null,null,-1,null,Y,1,1200000851,1,VERIFIED,2016-09-08T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,16460783,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,1030284,8330561,null,[PATIENT DIED ON 11/21/20],2007-06-04T00:00:00Z,null,null,null,null,-1,565,299578,ESR,null,U,N,null,1995-02-07T23:59:59Z,null,null,null,null,110 MAIN STREET,null,FAIRVIEW,37,6889,76,1200108747,28314,28314,90,null,Y,VIETNAM,null,N,null,NO,null,null,-1,null,null,null,null,null,null,null,null,null,null
11110010,111010,688,"SMITH,DILLON SCOTT",SMITH,DILLON,null,N,Y,1,1200000388,PTICN010,111111111,111110010,null,VERIFIED,null,null,82,1938-06-24T00:00:00Z,null,null,Y,2020-11-21T00:00:00Z,null,null,null,-1,SPOUSE/NOK/OTHER PERSON,null,2020-12-11T16:01:06Z,null,null,null,-1,M,null,3,2021,2,318,null,-1,12424247,1.6E+12,null,-1,7,1200001286,null,null,null,null,null,null,null,-1,null,Y,1,1200000851,1,VERIFIED,2016-09-08T00:00:00Z,null,null,HEC,CEV/VBA,null,null,null,0.5,16460783,null,null,null,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,-1,null,null,null,null,null,-1,1030284,8330561,null,[PATIENT DIED ON 11/21/20],2007-06-04T00:00:00Z,null,null,null,null,-1,565,299578,ESR,null,U,N,null,1995-02-07T23:59:59Z,null,null,null,null,110 MAIN STREET,null,FAIRVIEW,37,6889,76,1200108747,28314,28314,90,null,Y,VIETNAM,null,N,null,NO,null,null,-1,null,null,null,null,null,null,null,null,null,null
